kind	type	id	display_a	display_b	correct	notes
edge	DOSED_WITH		formula:401-to-450/26	vehicle:kṣīra		
edge	TREATS		formula:401-to-450/20	disease:kuṣṭha		
edge	TREATS		formula:251-to-300/6	disease:prameha		
edge	TREATS		formula:401-to-450/16	disease:śvāsa		
edge	TREATS		formula:251-to-300/17	disease:śotha		
edge	TREATS		formula:251-to-300/4	disease:mūtrāghāta		
edge	TREATS		formula:351-to-400/6	disease:jvara		
edge	TREATS		formula:251-to-300/5	disease:aśmarī		
edge	IS_TYPE		formula:201-to-250/57	prep:cūrṇa		
edge	IS_TYPE		formula:351-to-400/11	prep:taila		
edge	IS_TYPE		formula:401-to-450/97	prep:taila		
edge	IS_TYPE		formula:401-to-450/76	prep:taila		
edge	IS_TYPE		formula:201-to-250/179	prep:kvātha		
edge	IS_TYPE		formula:151-to-200/34	prep:kvātha		
edge	IS_TYPE		formula:201-to-250/166	prep:kaṣāya		
edge	HAS_PROPERTY		plant:_si_මදුරුතලා	prop:karma:ශ්වාසහර		
edge	HAS_PROPERTY		plant:_si__ගොන්_කැකිරි	prop:karma:බලකාරක		
edge	HAS_PROPERTY		plant:_si_බාලක	prop:karma:තෘෂ්ණානිග්රහණ		
edge	HAS_PROPERTY		plant:_si_නෙල්ලි	prop:karma:කාසහර		
edge	HAS_PROPERTY		plant:_si_කටුවැල්බටු	prop:karma:ශෝථහර		
edge	HAS_PROPERTY		plant:_si__මුද්දරප්පලම්	prop:karma:ස්නේහෝපග		
edge	HAS_PROPERTY		plant:_si_හාතාවාරිය	prop:karma:වයඃස්ථාපන		
edge	SUBSTITUTES_FOR		plant:_si_මීකිරි	plant:_si_ගොදුග්ධ		
edge	SUBSTITUTES_FOR		plant:_si_වෘක්ෂාම්ල	plant:_si_දෙළුම්		
edge	SUBSTITUTES_FOR		animal:_si_ගෝමූත්ර	plant:_si_එළුමූත්ර		
edge	SUBSTITUTES_FOR		plant:_si_නෙළුණු	plant:_si_නාගකේශර		
edge	SUBSTITUTES_FOR		plant:_si_ඇත්දෙමට_පොතු	plant:_si_කඵල		
edge	SUBSTITUTES_FOR		plant:_si_ලවංග	plant:_si_සමන්මල්		
edge	SUBSTITUTES_FOR		plant:_si_යාම_සතරක්_අව්වේ_වියලා_ගත්_ගුඩ	plant:_si_පුරාතණ_ගුඩ		
edge	CO_OCCURS		plant:_si_වදකහ	plant:lavaṃga		
edge	CO_OCCURS		plant:_si_කටුකරෝසන	plant:dhānya		
edge	CO_OCCURS		plant:_si_එන්සාල්	plant:_si_කුරුඳු_පොතු		
edge	CO_OCCURS		plant:_si_තිප්පිලි	plant:madhuyaṣṭī		
edge	CO_OCCURS		plant:_si_දේවදාර	plant:_si_වදකහ		
edge	CO_OCCURS		plant:_si_ඉඟුරු	plant:dhānya		
edge	CO_OCCURS		plant:_si_කුරුඳු_පොතු	plant:kamala+keśara		
